"nome","sku","departamento","categoria","img","valor","desconto","dt_hora"
"ADOÇANTE FIT SUCRALOSE SACHE 6G C/ 50UN",144,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/7b560d70-66b5-45c6-a30e-6d07bca9fdbf.jpg",10.49,0,"1654631025.653915"
"ADOCANTE ERITRITOL LOWÇUCAR 300G",145,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/ba2ffb94-74c7-49ba-8dc9-6565095a1f07.jpg",48.90,0,"1654631030.719786"
"ADOÇANTE LIQUIDO BLENDA LOWÇUCAR COM SUCRALOSE 80ML",146,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/adocanteblendalowcucar748.jpg",13.79,16,"1654631035.905567"
"ADOÇANTE FORNO E FOGÃO LOWÇUCAR 95G",147,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/lowcucarfornoefogao748.jpg",14.99,17,"1654631038.904954"
"ADOÇANTE LÍQUIDO LOWÇUCAR SÓSTEVIA 80ML",148,"Açúcar e Adoçantes","alimentos","https://d2om08pcbtz1n1.cloudfront.net/sostevialowcucar74114.jpg",21.99,17,"1654631042.032745"
"None",149,"Arroz, Feijão e Grãos","alimentos","None",0,0,"1654631068.52556"
"ARROZ PARBOILIZADO CAMIL TIPO 1 5KG",150,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/7dc4a769-4b0c-4838-b8c8-46356e1d5d7b.jpg",22.99,3,"1654631095.467988"
"ARROZ POLIDO LONGO FINO CAMIL TIPO 1 5KG",151,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/687ea190-7987-4569-83d1-120ecd7e2c14.jpg",21.99,7,"1654631098.616808"
"FEIJÃO CARIOCA CAMIL 1KG",152,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/03d63017-2cb4-41f5-97ef-0ac3c4c55c0c.jpg",7.49,24,"1654631099.850188"
"FEIJÃO PRETO CAMIL 1KG",153,"Arroz, Feijão e Grãos","alimentos","https://d2om08pcbtz1n1.cloudfront.net/43b38330-9e29-410b-bebd-bbffaf879075.jpg",8.89,0,"1654631101.059554"
